                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2923,                 2.8548,                  1.614,                0.71293,                0.64307,                0.72474,                0.47896,                    nan,                    nan,                    nan,             0.00031127,             0.00031127,             0.00031127
                      2,                 1.1716,                 1.8664,                 1.5054,                0.80292,                0.78258,                0.84762,                0.55561,                    nan,                    nan,                    nan,             0.00060833,             0.00060833,             0.00060833
                      3,                 1.1606,                 1.6455,                 1.4756,                0.82897,                0.77161,                0.86654,                0.56518,                    nan,                    nan,                    nan,             0.00059406,             0.00059406,             0.00059406
                      4,                 1.1444,                 1.5161,                 1.4631,                0.87856,                0.84694,                0.89403,                 0.5761,                    nan,                    nan,                    nan,             0.00059406,             0.00059406,             0.00059406
                      5,                 1.1434,                 1.3834,                 1.4658,                0.85921,                0.81253,                0.89104,                0.59032,                    nan,                    nan,                    nan,             0.00057859,             0.00057859,             0.00057859
                      6,                 1.1177,                 1.3439,                 1.4523,                0.82928,                0.86547,                0.88799,                0.58303,                    nan,                    nan,                    nan,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.0832,                 1.2183,                 1.4133,                0.89437,                0.83799,                0.91369,                0.64686,                    nan,                    nan,                    nan,             0.00054766,             0.00054766,             0.00054766
                      8,                 1.0664,                 1.1888,                 1.3967,                  0.889,                0.86417,                0.92178,                0.66007,                    nan,                    nan,                    nan,             0.00053219,             0.00053219,             0.00053219
                      9,                 1.0355,                  1.149,                 1.3808,                0.87939,                0.87257,                0.91635,                0.61098,                    nan,                    nan,                    nan,             0.00051672,             0.00051672,             0.00051672
                     10,                 1.0257,                 1.0556,                 1.3766,                0.90032,                0.88538,                0.93865,                0.69047,                    nan,                    nan,                    nan,             0.00050125,             0.00050125,             0.00050125
                     11,                0.99641,                 1.0352,                 1.3601,                0.92342,                0.87341,                0.93976,                0.72924,                    nan,                    nan,                    nan,             0.00048578,             0.00048578,             0.00048578
                     12,                0.99993,                 1.0191,                 1.3523,                 0.9027,                0.85668,                0.92169,                0.68953,                    nan,                    nan,                    nan,             0.00047031,             0.00047031,             0.00047031
                     13,                0.98675,                 1.0088,                 1.3591,                0.91661,                0.86469,                0.93939,                 0.7604,                    nan,                    nan,                    nan,             0.00045484,             0.00045484,             0.00045484
                     14,                0.95839,                0.96393,                  1.311,                0.92556,                0.89069,                0.95652,                 0.7518,                    nan,                    nan,                    nan,             0.00043937,             0.00043937,             0.00043937
                     15,                0.93785,                0.93943,                  1.321,                0.94302,                0.89027,                0.95516,                0.79543,                    nan,                    nan,                    nan,             0.00042391,             0.00042391,             0.00042391
                     16,                0.96389,                 0.9528,                 1.3261,                0.91548,                0.87894,                0.94555,                0.79004,                    nan,                    nan,                    nan,             0.00040844,             0.00040844,             0.00040844
                     17,                0.93207,                0.90612,                 1.3076,                0.90519,                0.87306,                0.94486,                0.78129,                    nan,                    nan,                    nan,             0.00039297,             0.00039297,             0.00039297
                     18,                0.92728,                0.89591,                 1.3069,                0.93377,                0.88497,                0.95595,                0.78157,                    nan,                    nan,                    nan,              0.0003775,              0.0003775,              0.0003775
                     19,                0.91341,                0.89089,                 1.2973,                0.92282,                0.88713,                0.94596,                0.79384,                    nan,                    nan,                    nan,             0.00036203,             0.00036203,             0.00036203
